CLAIM_ID,CLAIM_TYPE,SEVERITY_SCORE,COMPLEXITY_SCORE,JURISDICTION,REQUIRED_SKILL,ESTIMATED_HOURS,STATUS
1053,Auto,0.39,0.24,NC,Auto,5,Unassigned
1054,Property,0.73,0.63,SC,Property,12,Unassigned
1055,Liability,0.56,0.42,VA,Liability,8,Unassigned
1056,Commercial,0.8,0.74,MD,Commercial,15,Unassigned
1057,Auto,0.35,0.2,SC,Auto,4,Unassigned
1058,Property,0.69,0.58,NC,Property,11,Unassigned
1059,Liability,0.53,0.39,VA,Liability,7,Unassigned
1060,Commercial,0.82,0.77,SC,Commercial,16,Unassigned
1061,Auto,0.44,0.3,MD,Auto,6,Unassigned
1062,Property,0.72,0.61,VA,Property,10,Unassigned
1063,Liability,0.57,0.46,NC,Liability,9,Unassigned
1064,Commercial,0.79,0.73,SC,Commercial,14,Unassigned
1065,Auto,0.38,0.25,VA,Auto,5,Unassigned
1066,Property,0.74,0.64,MD,Property,13,Unassigned
1067,Liability,0.55,0.41,SC,Liability,8,Unassigned
1068,Commercial,0.81,0.75,NC,Commercial,15,Unassigned
1069,Auto,0.36,0.21,VA,Auto,4,Unassigned
1070,Property,0.7,0.59,SC,Property,11,Unassigned
1071,Liability,0.58,0.45,MD,Liability,9,Unassigned
1072,Commercial,0.78,0.72,VA,Commercial,14,Unassigned
1073,Auto,0.39,0.24,NC,Auto,5,Unassigned
1074,Property,0.73,0.63,SC,Property,12,Unassigned
1075,Liability,0.56,0.42,VA,Liability,8,Unassigned
1076,Commercial,0.8,0.74,MD,Commercial,15,Unassigned
1077,Auto,0.35,0.2,SC,Auto,4,Unassigned
1078,Property,0.69,0.58,NC,Property,11,Unassigned
1079,Liability,0.53,0.39,VA,Liability,7,Unassigned
1080,Commercial,0.82,0.77,SC,Commercial,16,Unassigned
1081,Auto,0.44,0.3,MD,Auto,6,Unassigned
1082,Property,0.72,0.61,VA,Property,10,Unassigned
1083,Liability,0.57,0.46,NC,Liability,9,Unassigned
1084,Commercial,0.79,0.73,SC,Commercial,14,Unassigned
1085,Auto,0.38,0.25,VA,Auto,5,Unassigned
1086,Property,0.74,0.64,MD,Property,13,Unassigned
1087,Liability,0.55,0.41,SC,Liability,8,Unassigned
1088,Commercial,0.81,0.75,NC,Commercial,15,Unassigned
1089,Auto,0.36,0.21,VA,Auto,4,Unassigned
1090,Property,0.7,0.59,SC,Property,11,Unassigned
1091,Liability,0.58,0.45,MD,Liability,9,Unassigned
1092,Commercial,0.78,0.72,VA,Commercial,14,Unassigned
1093,Auto,0.39,0.24,NC,Auto,5,Unassigned
1094,Property,0.73,0.63,SC,Property,12,Unassigned
1095,Liability,0.56,0.42,VA,Liability,8,Unassigned
1096,Commercial,0.8,0.74,MD,Commercial,15,Unassigned
1097,Auto,0.35,0.2,SC,Auto,4,Unassigned
1098,Property,0.69,0.58,NC,Property,11,Unassigned
1099,Liability,0.53,0.39,VA,Liability,7,Unassigned
1100,Commercial,0.82,0.77,SC,Commercial,16,Unassigned
